CÓDIGO;RUBRICA;ABATE TETO C.F.ATÉ JAN2004;ABATE TETO C.F. A PARTIR FEV2004
18178;AO 979045-0 6VF/CE ANUENIO;;X
18179;AO 53295-8 7VF/CE DIF.DAI/FG;X;X
18180;AO 9513576-0 5VF/RN ANUENIO;;X
18181;AO 948081-6 3VF/RN ANUENIO;;X
18182;MS 968410-6 1VF/PB RAV;X;X
18183;QUINTOS S/ART 192;;X
18184;MS 97443-0 2VF/AC - PSS 6%;X;X
18185;AO 96301313-7 VF/UB 28,86%;X;X
18186;AO 9513578-7 3VF/RN ANUENIO;;X
18187;AO 947157-4 5VF/RN ANUENIO;;X
18188;MS 971211-5 3VF/RJ ISENçAO IR;X;X
18189;AO 967781-9 4VF/CE ANUENIO;;X
18190;RT 0489130-52 4JCJ/BA RES.VAN;X;X
18191;AO 9711668-9 6VF/CE ANUENIO;;X
18192;AO 53295-8 7VF/CE DIF.DAI/FG;X;X
18193;AO 9614687-0 4VF/CE FG;X;X
18194;AO 967915-3 3VF/CE COM.SALARI;X;X
18195;AO 967915-3 3VF/CE COMP. SALAR;X;X
18196;AO 972000079-1 1VF/MS ISONIMIA;X;X
18197;MS 9613079-5 4VF/MA - V.AR.193;X;X
18198;MS 97328-9 3VF/PA PSS 6%;X;X
18199;MS 965219-0 4VF/PA PSS 6%;X;X
18200;AO 9315880-5 4VF/RN ANUENIO;;X
18201;AO 947157-4 5VF/RN ANUENIO;;X
18202;AO 973471-2 3V/AL PSS 6%;X;X
18203;AO 97231-7 1VF/ GEL;X;X
18204;AO 972437-7 2VF/AL PSS 6%;X;X
18205;MS 962431-6 3VF/BA - ABONO;X;X
18206;AO 968659-1 JF/MS ABONO;X;X
18207;MS 972355-9 5VF/RN ABONO;X;X
18208;ACI 9730530-1 1VF/AC GEL;X;X
18209;MS 9750000-9 10VF/PE PSS 6%;X;X
18210;MS 968405-0 3VF/PB RAV;X;X
18211;MS 968408-4 3VF/PB RAV;X;X
18212;MS 9616124-9 15VF/ QUINTOS FC;;X
18213;MS 968173-5 2VF/PB PSS 6%;X;X
18214;MS 974466-1 5VF/CE ABONO;X;X
18215;MS 97478-3 1VF/PB ABONO;X;X
18216;MS 977538-9 5VF/CE - ABONO;X;X
18217;MS 97310-5 1VF/PA - ABONO PEC;X;X
18218;AO 9635322-0 7VF/CE RAV;X;X
18219;MS 9414377-0 8VF/DF EX.PES.P/T;X;X
18220;MS 9512238-3 2VF/PB PSS 6%;X;X
18221;MS 97332732-5 5VF/BA QUIN. FG;X;X
18222;MS 9512238-3 2VF/PB PSS 6%;X;X
18223;MS 97332732-5 5VF/BA QUIN. FG;X;X
18224;MS 9612172-9 18VF/RJ REST.BIEN;X;X
18225;AO 96302357-4 VF/UB 28,86%;X;X
18226;AO 959889-0 1VF/RN ANUENIO;;X
18227;AO 698/69 10 VF/SP ISONOMIA MP;;
18228;MS 97369-0 2VF/AC PSS 6%;X;X
18229;AO 8824761-0 20 VF/RJ HON. ADV;X;X
18230;MS 97449-7 2VF/AC PSS 6%;X;X
18231;MS 9730466-2 2VF/AC PSS 65;X;X
18232;MS 9621642-8 16VF/DF PSS6%;X;X
18233;MS 966409-1 6VF/GO PSS 6%;X;X
18234;AO 96301352-8 VF/UB 28,86%;X;X
18235;MS 965286-6 17VF/DF PSS 6%;X;X
18236;AO 97130-0 3VF/PR PSS 6%;X;X
18237;AO 9710284-0 3V/CE V.D.95689;X;X
18238;RT 2448/90 37JCJ/RJ GRAT.R.X;X;X
18239;AO 6977073 12VF/RJ BIENAL;;
18240;AO 6281427 9VF/RJ BIENAL;;
18241;AO 965045-7 2VF/PI PSS 6%;X;X
18242;AO 97459-3 2VF/PI PSS 6%;X;X
18243;AO 9615930-0 2VF/CE - GDAR;X;X
18244;AO 9615930-0 2VF/CE GDAR;X;X
18245;AO 947337-2 3VF/RN ANUENIO;;X
18246;RT 10808-1 2VF/MG COMPL. APOS.;X;X
18247;AO 972459-8 1VF/AL - PSS 6%;X;X
18248;ACI 971863-1 1VF/MG - PSS 6%;X;X
18249;AO 973472-0 1V/AL PSS 6%;X;X
18250;AO 9224787-3 12VF/RJ HON. ADV;X;X
18251;MS 971558-0 2VF/SE VANT. A.192;X;X
18252;AO 973465-8 2V/AL PSS 6%;X;X
18253;MS 974860-8 1VF/PB - ABONO;X;X
18254;AO 96302384-1 VF/UB 28,86%;X;X
18255;AO 9617782-1 4VF/CE FG;X;X
18256;AO 9617782-1 4VF/CE FG;X;X
18257;MS 977878-7 11VF/MG ABONO;X;X
18258;MS 97389274-0 11VF/MG ABONO;X;X
18259;AO 973475-5 2V/AL PSS 6%;X;X
18260;AO 973440-2 2V/AL PSS 6%;X;X
18261;AO 973462-3 2V/AL PSS 6%;X;X
18262;AO 973469-0 2V/AL PSS 6%;X;X
18263;MS 97394601-9 4V/PA PSS 6%;X;X
18264;MS 9739888-4 1V/PA PSS 6%;X;X
18265;MS 965317-4 1V/PA PSS 6%;X;X
18266;MS 97345009-8 13V/DF PSS 6%;X;X
18267;MS 963192-4 3V/MT PSS 6%;X;X
18268;MS 963194-0 3V/MT PSS 6%;X;X
18269;MS 965432-0 4V/PA PSS 6%;X;X
18270;MS 200017037-1 13VF/DF OP 55%;X;X
18271;MS 971461-4 3VF/CE ABONO;X;X
18272;MS 971563-7 4VF/RN ABONO;X;X
18273;MS 9617616-7 16VF/DF PSS 6%;X;X
18274;AO 971422-3 3VF/AL PSS 6%;X;X
18275;MS 9617620-5 9VF/DF PSS 6%;X;X
18276;AO 9615386-8 5VF/CE GDAR;X;X
18277;MS 9618282-5 - PSS 6%;X;X
18278;AO 964563-1 - PSS6%;X;X
18279;RT 2530/91 1JCJ/UBER PERICULOS;X;X
18280;AO 964493-7 5VF/CE REST. VANT;X;X
18281;RT 2187/88 0JCJ/RJ HORA EXTRA;X;X
18282;RT 2187/88 9JCJ/RJ HORA EXTRA;X;X
18283;AO 8824761-0 20VF/RJ HON ADV;X;X
18284;QUINTOS S/ART 192;;X
18285;MS 97474-9 3VF/AC - PSS 6%;X;X
18286;MS 97448-4 3VF/AC - PSS 6%;X;X
18287;AO 978288-1 7VF/CE - ANUENIO;;X
18288;MS 9611461-7 13VF/MG AUX.ALIM.;X;X
18289;AO 9513576-0 5VF/RN ANUENIO;;X
18290;AO 948081-6 3VF/RN ANUENIO;;X
18291;MS 973802887-0 VU/UBE PSS 6%;X;X
18292;MS 966310-9 5VF/PA - PSS 6%;X;X
18293;AO 947327-5 3VF/RN ANUENIO;X;X
18294;ACI 970530-1 1VF/AC GEL;;X
18295;MS 972386-9 1VF/PB PSS 6%;X;X
18296;MS 97693-0 2VF/PB - PSS 6%;X;X
18297;MS 97381455-1 12VF/DF ABONO PE;X;X
18298;AO 97303816-6 3VF/SP DEV. PSS;X;X
18299;MS 968412-2 3VF/PB RAV;X;X
18300;MS 968404-1 3VF/PB RAV;X;X
18301;MS 973392-9 4V/AL ABONO PEC;X;X
18302;MS 973821281-2 12VF/MG ABONO;X;X
18303;AO 972976-0 3V/AL PSS 6%;X;X
18304;MS 973418303-3 6V/DF PSS 6%;X;X
18305;MS 9684559-2 8V/DF PSS 6%;X;X
18306;RT 1500/91 1JCJ/AP 84,32%;X;X
18307;MS 97353065-3 2VF/GP 28,86%;X;X
18308;MS 9615840-1 7VF/PE - PSS 6%;X;X
18309;AO 974595-1 4VF/AL - PSS 6%;X;X
18310;AO 974414-9 4VF/AL PSS 6%;X;X
18311;AO 7005148 7VF/RJ REST.VAN.PES;X;X
18312;MS 971701-0 5VF/PE QUINTOS FC;;X
18313;MS 9738021188-7 VU/MG ABONO;X;X
18314;MS 977196-0 7VF/PE ABONO;X;X
18315;RT 1928/91 2JCJ/UBE INSALUBRID;X;X
18316;AO 967231-0 3VF/MS DIF. GEFA;X;X
18317;MS 973803608-4 VF/UBER. AD.IR.;X;X
18318;MS 973803608-4 VF/UBER AD.IR.I;X;X
18319;MS 9718659-1 4VF/DF BIENAL;X;X
18320;MS 9718662-4 4VF/DF BIENAL;X;X
18321;ACI 9641335-5 4VF/CE ANUENIO;;X
18322;ACI 9641335-5 4VF/CE ANUENIO;;X
18323;AO 976000917-0 VF/CHAPECO GEL;X;X
18324;AO 939514-5 1VF/RN ANUENIO;;X
18325;AO 9648039-7 3VF/CE DAI/FG;X;X
18326;AO 979042-6 5VF/CE DAI/FG;X;X
18327;MS 973413006-9 6VF/DF PSS 6%;X;X
18328;VANT. 80%;X;X
18329;MS 96278-9 1VF/PB PSS 6%;X;X
18330;MS 97509-0 5VF/PA PSS 6%;X;X
18331;AO 963736-1 6VF/PR PSS 6% ATIV;X;X
18332;MS 97502-0 4VF/PA PSS 6% ATIVO;X;X
18333;MS 9631705-4 1VF/MG TICKET AL.;X;X
18334;MS 9711692-1 7VF/CE ISENçAO IR;X;X
18335;MS 9614305-6 9VF/RJ BIENAL;X;X
18336;MS 9614305-6 9VF/RJ BIENAL;X;X
18337;MS 973803604-3 VF/UBER AD.IR.I;X;X
18338;MS 973803604-3 VF/UBER AD.IR.I;X;X
18339;MS 975830-1 4VF/GO PSS 6%;X;X
18340;MS 971047-3 3VF/SC - PSS 6%;X;X
18341;ACI 932361-6 12VF/MG SUS.D.IR;X;X
18342;ACI 937469-5 8VF/MG SUS.DES.IR;X;X
18343;AO 939514-5 1VF/RN ANUENIO;;X
18344;RT 408/89 35JCJ/RJ EQUIP.SALAR;X;X
18345;MS 9721702-7 29VF/RJ PSS 6%;X;X
18346;MS 971965-9 2VF/AL PSS 6%;X;X
18347;MS 971962-4 4VF/AL PSS 6%;X;X
18348;AC 977052-2 8VF/CE FERIAS 1/3C;X;X
18349;A.IN. 27189012605 VF/SM I.D.PE;X;X
18350;MS 9704747-4 3VF/CE ABONO;X;X
18351;MS 9619753-9 6VF/DF ABONO;X;X
18352;MS 973802569-0 VU/MG ABONO;X;X
18353;MS 973802581-1 VU/MG ABONO;X;X
18354;MS 20003601-0 1VF/BA PSS/FG;;
18355;MS 9957331-8 14VF/SP GDAT;X;X
18356;MS 20003601-0 1VF/BA PSS/FG;;
18357;ART 8º LEI 7923/89;X;X
18358;AS 96536-2 2VF/SE COMP SALARIA;X;X
18359;AS 96536-2 2VF/SE COMP SALARIA;X;X
18360;AS 9316192-0 1VF/SE COM SAL;X;X
18361;GRATIFICACAO LEI 7333;X;X
18362;AS 9316192-0 1VF/SE COMP SAL;X;X
18363;AS 9315924-0 2VF/SE COMP SAL;X;X
18364;AS 9315924-0 2VF/SE COMP SAL;X;X
18365;MS 973802574-8 VU/MG PSS 6%;X;X
18366;AS 4775-9 3VF/MG 10%/VENC;X;X
18367;AO 9713195-3 7VF/DF 15,86;X;X
18368;AO 9713195-3 7VF/DF 15,86;X;X
18369;MS 200029683-4 22VF/DF 2886/FC;X;X
18370;MS 973802570-7 VU/MG PSS 6%;X;X
18371;AO 2000543-6 2VF/RS QUINTOS/FG;;X
18372;AO 2000543-6 2VF/RS QUINTOS/FG;;X
18373;MS 200024482-6 3VF/MG COM SAL;X;X
18374;MS 200024482-6 3VF/MG COMP SAL;X;X
18375;MS 9933351   13VF/DF GDAT;X;X
18376;AC 9730428-0 3VF/AC PSS 6%;X;X
18377;MS 97346998-0 1VF/DF ABONO;X;X
18378;AI 961371-3 2V/AL ABONO;X;X
18379;MS 97236-5 4VF/AL ABONO;X;X
18380;MS 9619753-9 6VF/DF ABONO;X;X
18381;MS 970321-3 2VF/AL ABONO;X;X
18382;MS 962374-3 3V/BA ABONO;X;X
18383;MS 973802446-7 JF/MG ABONO;X;X
18384;MS 973802476-2 JF/MG ABONO;X;X
18385;MS 961869-9 2VF/PA PSS 6%;X;X
18386;MS 961187-7 9V/DF ABONO;X;X
18387;MS 97709-5 3V/MT PSS 6%;X;X
18388;AO 200070112-2 4VF/PR 10,98%;X;X
18389;AO 200070112-2 4VF/PR 10,98%;X;X
18390;AO 20002842-9 6VF/PB COMP SAL;X;X
18391;MS 973919-6 4VF/CE ABONO;X;X
18392;AO 20002842-9 6VF/PB COMP SAL;X;X
18393;AO 20003367-0 6VF/PB COMP SAL;X;X
18394;AO 20003367-0 6VF/PB COMP SAL;X;X
18395;AO 962642-4 4VF/AL 3,17;X;X
18396;AO 962642-4 4VF/AL 3,17;X;X
18397;AO 962640-8 4VF/AL 3,17;;
18398;AO 962640-8 4VF/AL 3,17;X;X
18399;MS 20006571-2 3VF/SC GDAFA;X;X
18400;AO 895420-1 3VF/PE 26,05;X;X
18401;AO 962638-6 3VF/AL 3,17;X;X
18402;AO 962638-6 3VF/AL 3,17;X;X
18403;AO 967861-0 3VF/AL 3,17;X;X
18404;AO 967861-0 3VF/AL 3,17;X;X
18405;AO 962495-2 2VF/AL 3,17;X;X
18406;AD 97171-7 2VF/MS 47,94%;X;X
18407;AD 97171-7 2VF/MS 47,94%;X;X
18408;AO 962495-2 2VF/AL 3,17;X;X
18409;MS 973803608-4 VF/UBER AD.IR.I;X;X
18410;MS 973803607-1 VF/UBER AD.IR.I;X;X
18411;MS 9647998-4 3VF/CE V. D.95689;X;X
18412;ACI 9227508-7 8VF/RJ HON. ADVC;X;X
18413;AO 97346566-5 6VF/DF 28,86%;X;X
18414;AO 97346566-5 6VF/DF 28,86%;X;X
18415;MS 972482-2 9VF/PE PSS 6%;X;X
18416;MS 964440-6 4VF/PA PS 6%;X;X
18417;MS 970694-8 3VF/PB PSS 6%;X;X
18418;AO 963403-6 3VF/MA - PSS 6%;X;X
18419;AS 9315601-2 3VF/SE COMP SAL;X;X
18420;AS 9315601-2 3VF/SE COMP SAL;X;X
18421;MC 9122837-0 14VF DESC. EM FOL;X;X
18422;AO 964046 4VF/AL 3,17;X;X
18423;AO 99335-7 1VF/AL 3,17;X;X
18424;AO 99335-71VF/AL 3,17;;
18425;AO 931580-0 3VF/CE 84,32%;X;X
18426;AO 931580-0 3VF/CE 84,32%;X;X
18427;MS 96495-1 3VF/MS ABONO;X;X
18428;MS 97844-4 4VF/AL ABONO;X;X
18429;MS 971689-7 4VF/AL ABONO;X;X
18430;MS 975168-7 15V/DF ABONO;X;X
18431;PENSAO POR MORTE;X;X
18432;MS 9617359-1 13VF/DF DEV. PSS;X;X
18433;MS 9612633-0 5VF/DF ABONO;X;X
18434;AO 895420-1 3VF/PE 26,05%;X;X
18435;AO 9636005-7 4VF/CE DEV. PSS;X;X
18436;RT 982/89 1ª JCJ/SP INC DIARIA;X;X
18437;AO 9124278-0 6VF/DF LEI7756/89;X;X
18438;AO 9124278-0 6VF/DF LEI7756/89;X;X
18439;REENQUADRAMENTO - SENT;X;X
18440;RT 1850/89 1JCJ/RN VANT L 7596;X;X
18441;RT 1850/89 1JCJ/RN VANT L 7596;X;X
18442;AO 975728-3 1VF/AL 3,17%;X;X
18443;AO 975728-3 1VF/AL 3,17;X;X
18444;AO 20008147-4 12VF/PE ABAT TET;;
18445;AO 9211146-7 1VF/SE 26,05%;X;X
18446;AO 932717-4 3VF/CE 7/30 16,19%;X;X
18447;AO 932717-4 3VF/CE 7/30 16,19%;X;X
18448;RT 932/91 4VF/PB 84,32%;X;X
18449;MS 9615859-2 10 V/PE 6% PSS_AT;X;X
18450;MS 968790-3 1VF/MS PSS 6%;X;X
18451;MS 968460-2 1VF/PB PSS 6%;X;X
18452;MS 96912-6 2VF/PB PSS 6%;X;X
18453;MS 964754-5 3VF/PI PSS 6%;X;X
18454;RT 932/91 4VF/PB 84,32%;X;X
18455;MS 973674-8 2VF/MT PSS 6%;X;X
18456;MS 200030108-8 4VF/DF  GDAT;X;X
18457;AO 983568-0 3VF/AL 3,17%;X;X
18458;AO 983568-0 3VF/AL 3,17%;X;X
18459;MS 200022843-9 7VF/DF AB. TETO;X;X
18460;AO 977339-4 4VF/SE 3,17%;X;X
18461;MS 2000977339-4 4VF/SE 3,17%;X;X
18462;AO 964417-1 1VF/AL 3,17%;X;X
18463;AO 961744-1 1VF/AL 3,17%;X;X
18464;AO 9844876-1 22VF/RJ 3,17%;X;X
18465;AO 9844876-1 22VF/RJ 3,17%;X;X
18466;AO 964415-1 1VF/AL 3,17%;X;X
18467;AO 9222400-5 1VF/DF 3,17%;;
18468;AO 9622400-5 1VF/DF 3,17%;X;X
18469;MS 977159-6 2VF/AL ABONO PEC;X;X
18470;MS 977080-8 3VF/AL ABONO PEC;X;X
18471;MS 20002980-8 3VF/SE GID;X;X
18472;MS 200018044-6 23VF/RJ GID;X;X
18473;MS 20005241-7 3VF/SE PCCS;X;X
18474;QUINTOS S/FC;;X
18475;AS 14567-0 1VF/PE GRAT PROD US;X;X
18476;AS 14567-0 1VF/PE GRAT PROD US;X;X
18477;AE 200010574-5 1VF/DF 3,17%;X;X
18478;AE 200010574-5_1VF/DF 3,17%;X;X
18479;AE 200013616-0 1VF/DF 3,17%;X;X
18480;AE 200013616-0 1VF/DF 3,17;X;X
18481;AO 93508-1 12VF/PE VAN PESSOAL;;X
18482;MS 973381-3 12VF/SP ABONO;X;X
18483;MS 200023837-8 16VF/DF OPCAO;X;X
18484;MS 976017-4 9VF/DF ABONO;X;X
18485;MS 963925-9 5VF/DF ABONO;X;X
18486;MS 9627-1 3VF/MS ABONO;X;X
18487;MS 97345002-9 6VF/DF PSS 6%;X;X
18488;MS 9637088-5 3VF/MG ABONO;X;X
18489;MS 971658-7 2VF/RN ABONO;X;X
18490;MS 968816-0 1VF/PB ABONO;X;X
18491;MS 974999-2 4VF/DF PSS 6%;X;X
18492;AO 954168-5 2VF/AL 3,17%;X;X
18493;AO 954168-5 2VF/AL 3,17%;X;X
18494;MS 20001064-0 6VF/DF GRAT PROD;X;X
18495;MS 20002315-6 4VF/DF ANUENIO;;X
18496;AO 9210774-5 1VF/SE 26,05;X;X
18497;ART 8º LEI 7923/89;X;X
18498;MS 97385232-8 10VF/MG ABONO;X;X
18499;MS 977124-9 9VF/DF ABONO;X;X
18500;MS 200033984-9 4VF/DF ART 192;X;X
18501;MS 200033984-9 4VF/DF 26,05;X;X
18502;MS 200023926-4 13VF/DF COM SAL;;
18503;QUINTOS S/FC;;X
18504;MS 994008-9 6VF/MA 26,05%;X;X
18505;MS 994008-9 6VF/MA 26,05%;X;X
18506;MS 973423272-1 6VF/DF 15,67%;;
18507;AO 923631-7 3VF/PB 26,05;X;X
18508;MS 973423272-1 6VF/DF 15,67%;X;X
18509;MS 974457-2 8VF/CE ABONO;X;X
18510;MS 973918-8 3VF/CE ABONO;X;X
18511;MS 971293-0 2VF/AL ABONO;X;X
18512;MS 97168-7 2VF/AL ABONO;X;X
18513;MS 971022-8 2VF/AL ABONO;X;X
18514;MS 974540-2 2VF/AL ABONO;X;X
18515;MS 200018044-69 23VF/RJ GID;X;X
18516;MS 973775-4 15VF/RJ ABONO;X;X
18517;MS 971533-5 1VF/AL ABONO;X;X
18518;MS 971532-7 JF/AL ABONO;X;X
18519;MS 977879-0 3VF/MG ABONO;X;X
18520;AC 975243-5 2VF/CE ABONO;X;X
18521;MS 974691-0 1VF/MG ABONO;X;X
18522;97116-0 1VF/RO 3,17%;X;X
18523;974116-0 1VF/RO 3,17%;X;X
18524;974115-7 3VF/RO 3,17%;X;X
18525;974115-7 3VF/RO 3,17%;X;X
18526;AO 9241171-1 19VF/RJ HON. ADVO;X;X
18527;AO 9241171-1 19VF/RJ HON. ADVO;X;X
18528;AO 91120283-9 27VF/RJ HON. ADV;X;X
18529;AO 91120283-9 27VF/RJ HON. ADV;X;X
18530;RT 2421/90 1JCJ/PE 111,2%;X;X
18531;RT 2421/90 1JCJ/PE 111,2;X;X
18532;AO 951692-3 7VF/DF 28,86%;X;X
18533;AO 951692-3 7VF/DF 28,86%;X;X
18534;AO 964535-6 4VF/AL 3,17%;X;X
18535;AO 964535-6 4VF/AL 3,17%;X;X
18536;AO 964293-4 4VF/AL 3,17%;X;X
18537;AO 964293-4 4VF/AL 3,17%;X;X
18538;AO 9623305-5 8VF/CE VAN. A.192;X;X
18539;AO 9610733-5 3VF/PE COMP.SAL.P;X;X
18540;AO 9610733-5 3VF/PE COMP.SAL.P;X;X
18541;AO 9634111-7 1VF/CE 3,17%;X;X
18542;AO 9634111-7 1VF/CE 3,17%;X;X
18543;AO 9624198-8 1VF/CE 3,17%;X;X
18544;AO 9624198-8 1VF/CE 3,17%;X;X
18545;MS 9621465-4 5VF/DF COMPL.SA.P;X;X
18546;MS 9621465-4 5VF/DF COM.SAL.P;X;X
18547;AO 967365-1 4VF/AL 3,17%;X;X
18548;AO 967365-1 4VF/AL 3,17%;X;X
18549;AO 9247092-0 26VF/RJ HONO.ADV.;X;X
18550;AO 9247092-0 26VF/RJ HON.ADV.;X;X
18551;AO 9259171 26VF/RJ HONOR.ADV.;X;X
18552;AO 9259171 26VF/RJ HONOR.ADV.;X;X
18553;MS 9617185-8 8VF/DF REST.PRO;X;X
18554;AO 971343-0 4VF/AL 3,17%;X;X
18555;AO 971343-0 4VF/AL 3,17%;X;X
18556;MS 966565-9 5VF/PA GEFA;X;X
18557;MS 966565-9 5VF/PA GEFA;X;X
18558;MS 97190-3 1VF/PE REST. PROV.;X;X
18559;MS 9625822-8 8VF/DF VAN.ART192;X;X
18560;AO 9621346-1 1VF/CE 3,17%;X;X
18561;AO 9621346-1 1VF/CE 3,17%;X;X
18562;AO 964478-3 4VF/AL 3,17%;X;X
18563;AO 964478-3 4VF/AL 3,17%;X;X
18564;AO 964662-0 4VF/AL 3,17%;X;X
18565;AO 964662-0 4VF/AL 3,17%;X;X
18566;AO 964984-0 4VF/AL 3,17%;X;X
18567;AO 964984-0 4VF/AL 3,175;X;X
18568;AO 965332-4 4VF/AL 3,17%;X;X
18569;AO 965332-4 4VF/AL 3,17%;X;X
18570;AO 964524-0 4VF/AL 3,17%;X;X
18571;AO 964524-0 4VF//AL 3,17%;X;X
18572;MS 964160-1 3VF/MS REST.PROVEN;X;X
18573;RT 9315-7 11VF/JF H.EXTRA;X;X
18574;RT 9315-7 11VF/JF H.EXTRA;X;X
18575;MS 9619243-0 16VF/DF QUIN. FC;X;X
18576;MS 9619243-0 16VF/DF QUINT. FC;X;X
18577;MS 97400456-5 2VF/PI DEV. IRRF;X;X
18578;MS 97400456-5 2VF/PI DEV. IRRF;X;X
18579;MS 9636324-2 3VF/CE VANT.A.192;X;X
18580;RT 730/90 3JCJ/DF 26,05%;X;X
18581;RT 730/90 3JCJ/DF 26,05%;X;X
18582;RT 928/91 4JCJ/DF 26,06%;X;X
18583;RT 928/91 4JCJ/DF 26,06%;X;X
18584;MS 97775-8 7VF/PE REST.VANTAG.;X;X
18585;AC 971212-4 13VF/MG DEV. IRRF;X;X
18586;ACI 963307-2 2VF/PI REST. VANT;X;X
18587;MS 9676463-8 22VF/RJ DEV.IRPF;X;X
18588;MS 971415-8 6VF/GO REST. VANT.;X;X
18589;MS 9649967-5 7VF/CE REST. VANT;X;X
18590;MS 9652208-1 8VF/CE RES. VANT.;X;X
18591;MS 973153-5 7VF/CE REST. VANT.;X;X
18592;MS 973153-5 7VF/CE REST. VANT.;X;X
18593;MS 9651728-2 8VF/CE REST. VANT;X;X
18594;MS 9651728-2 8VF/CE REST. VANT;X;X
18595;MS 97724-3 2VF/CE REST. VANT.;X;X
18596;MS 97724-3 2VF/CE REST. VANT.;X;X
18597;AC 97118-0 6VF/CE REST. VANT.;X;X
18598;AC 97895-9 4VF/RN REST. VANT.;X;X
18599;AC 97894-0 4VF/RN REST. VANT.;X;X
18600;MS 9611581-8 5VF/CE ANUENIO;;X
18601;MS 9611581-8 5VF/CE ANUENIO;;X
18602;MS 97214-5 3VF/CE REST. VANT.;X;X
18603;MS 9618610-3 22VF/RJ DEV.IRENT;X;X
18604;MS 972744-9 8VF/CE I. RENDA;X;X
18605;AO 968040-2 1VF/AL 3,17%;X;X
18606;AO 968040-2 1VF/AL 3,17%;X;X
18607;AO 965231-0 4VF/AL 3,17%;X;X
18608;AO 965231-0 4VF/AL 3,17%;X;X
18609;AO 968042-9 1VF/AL 3,17%;X;X
18610;AO 968042-9 1VF/AL 3,17%;X;X
18611;AO 968051-8 1VF/AL 3,17%;X;X
18612;AO 968051-8 1VF/AL 3,17%;X;X
18613;AO 968048-8 1VF/AL 3,17%;X;X
18614;AO 968048-8 1VF/AL 3,17%;X;X
18615;AO 968001-1 1VF/AL 3,7%;X;X
18616;AO 968001-1 1VF/AL 3,17%;X;X
18617;AO 9785-0 1VF/AL_3,17%;X;X
18618;AO 9785-0 1VF/AL 3,17%;X;X
18619;AD 967635-1 3VF/MS 47,94%;X;X
18620;AD 967635-1 3VF/MS 47,94%;X;X
18621;MS 973803606-9 VF/UBER AD.IR.I;X;X
18622;MS 973803606-9 VF/UBER AD.IR.I;X;X
18623;MS 9228788-0 21VF/RJ 84,32%;X;X
18624;MS 9228788-0 21FV/RJ 84,32%;X;X
18625;MS 969120-0 2V/PB PSS 6%;X;X
18626;AO 9933275-4 8VF/PR 11,98%;X;X
18627;AO 9933275-4 8VF/PR 11,98%;X;X
18628;RT 1385/90 1JCJ/RS FUN GRATIF;X;X
18629;RT 1385/90 1JCJ/RS FUN GRATIF;X;X
18630;MS 9739503-3 1VF/PA PSS 6%;X;X
18631;AO 200020178-3 18VF/MG ART 192;X;X
18632;AO 9711012-5 2VF/PB 3,17%;X;X
18633;AO 9711012-5 2VF/PB 3,17%;X;X
18634;AO 2000124475-8 11VF/RJ GID;X;X
18635;MS 200040222-5 4VF/DF GPS;X;X
18636;MS 200040506-5 7VF/DF GPS;X;X
18637;MS 973778-9 18VF/SP 1/3F.CONST;X;X
18638;MS 973778-9 18VF/SP 1/3F. CONS;X;X
18639;MS 9651236-1 7VF/CE VAN.PESSOA;X;X
18640;MS 9651236-1 7VF/CE VAN. PESS.;X;X
18641;MS 9628327-3 ART.192 S/GAE/ATS;X;X
18642;MS 9628327-3 ART.192 S/GAE/ATS;X;X
18643;MS 95400901-8 2VF/SP 14SALAR;X;X
18644;MS 966446-6 2VF/PB VANT.ART192;X;X
18645;MS 963608-0 3VF/PB ANUENIO;;X
18646;MS 963608-0 3VF/PB ANUENIO;;X
18647;MS 966444-0 2VF/PB ART.192 VAN;X;X
18648;MS 97405-8 5VF/ES VAN.ART192;X;X
18649;RT6012434 1VF/RS INSALUBRIDADE;X;X
18650;RT 6012434 1VF/RS INSALUBRIDAD;X;X
18651;AO 97281-0 12VF/RS VANT.PESSOA;X;X
18652;AO 97281-0 12VF/RS VANT.PESSOA;X;X
18653;MS 967760-6 7VF/MG ANUENIO;;X
18654;AO 9236999-5 7VF/RJ HONORARIO;X;X
18655;AO 9236999-5 7VF/RJ HONORARIO;X;X
18656;MS 967760-6 7VF/MG GADF;X;X
18657;MS 9617185-8 8VF/DF REST.PROV;X;X
18658;MS 9625831-7 8VF/DF REST.PROV.;X;X
18659;MS 9616812-2 8VF/CE GRAT.REPRE;X;X
18660;MS 9616812-2 8VF/CE GRAT.REPR;X;X
18661;MS 200040268-9 17VF/DF GPS;X;X
18662;MS 200040253-3 17VF/DF GPS;X;X
18663;AO 9653298-2 7VF/CE 3,17%;X;X
18664;MS 200040829-0 9VF/DF GPS;X;X
18665;MS 9730430-0 JF/AC PSS 6%;X;X
18666;QUINTOS S/FG;;X
18667;AO 964984-00 4VF/AL 3,17%;X;X
18668;AO 9653298-2 7VF/CE 3,17%;X;X
18669;MS 965045-7 3VF/PA 1/3 F.CONST;X;X
18670;MS 965045-7 3VF/PA 1/3 F.CONST;X;X
18671;AO 907056-2 2VF/PR HONORARIOS;X;X
18672;AO 907056-2 2VF/PR HONORARIOS;X;X
18673;AO 960531022-8 8V/CE VAN.A.193;X;X
18674;AO 965710-9 4VF/AL 3,17%;X;X
18675;AO 965710-9 4VF/AL 3,17%;X;X
18676;AO 964474-0 4VF/AL 3,17%;X;X
